gameId,blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueEliteMonsters,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff
4519157822,0,28,2,1,9,6,11,0,0,0,0,36,643,-8
4523371949,0,12,1,0,5,5,5,0,0,0,0,43,-2908,-1173
4521474530,0,15,0,0,7,11,4,1,1,0,0,46,-1172,-1033
4524384067,0,43,1,0,4,5,5,1,0,1,0,55,-1321,-7
4436033771,0,75,4,0,6,6,6,0,0,0,0,57,-1004,230
4475365709,1,18,0,0,5,3,6,1,1,0,0,42,698,101
4493010632,1,18,3,1,7,6,7,1,1,0,0,53,2411,1563
4496759358,0,16,2,0,5,13,3,0,0,0,0,48,-2615,-800
4443048030,0,16,3,0,7,7,8,0,0,0,0,61,-1979,-771
4509433346,1,13,1,1,4,5,5,1,1,0,0,39,-1548,-1574
4452162573,0,20,3,1,4,4,6,0,0,0,0,28,331,-1585
4453038156,0,33,2,1,11,11,7,1,0,1,0,40,-1505,-635
4515594785,1,18,1,1,7,1,11,1,1,0,0,53,3274,1659
4524924257,0,14,3,0,4,9,1,1,0,1,0,52,-3414,-1141
4516505202,1,15,3,1,4,4,4,0,0,0,0,51,-470,-187
4482120064,0,17,1,0,3,7,3,0,0,0,0,53,-1996,-1804
4523758462,1,14,1,1,10,2,8,0,0,0,0,56,5228,3378
4503636905,0,43,3,0,3,7,3,1,0,1,0,54,-1975,-1345
4486384947,1,21,4,1,5,4,11,0,0,0,0,49,882,512
4457103291,0,11,3,0,5,9,5,0,0,0,0,48,-3155,-2773
4472164226,1,14,3,1,11,6,15,1,1,0,0,45,2526,1625
4445294621,0,13,1,0,4,13,5,0,0,0,0,43,-2835,-2821
4480384157,0,17,2,0,4,6,3,0,0,0,0,56,-1254,-567
4520898233,0,78,4,0,4,3,4,2,1,1,0,67,406,1283
4522124566,1,33,3,0,6,9,10,0,0,0,0,45,-1020,493
4523978853,0,17,1,0,4,8,4,0,0,0,0,44,-2472,-1067
4507834811,1,18,1,0,8,6,9,1,1,0,0,44,1260,-55
4501319968,0,19,3,1,7,4,9,0,0,0,0,61,1857,2015
4519148589,0,105,5,1,8,6,13,1,1,0,0,53,1320,-413
4484877784,0,18,5,0,3,8,2,1,1,0,0,52,-3282,-1647
4466931235,1,22,7,1,9,4,10,1,1,0,0,40,2883,2111
4524189570,1,17,4,1,5,2,6,2,1,1,0,51,1703,1696
4503380070,0,12,3,0,6,4,7,0,0,0,0,32,608,-85
4497858921,0,15,2,1,5,4,4,0,0,0,0,45,71,-359
4509242024,1,40,2,0,6,4,4,0,0,0,0,56,275,872
4524296550,0,24,3,0,3,4,6,0,0,0,0,52,-809,638
4516034199,0,12,4,0,2,8,2,1,1,0,0,84,-2771,-1125
4504386463,0,20,2,1,5,6,4,1,0,1,0,48,-1730,-1236
4523799496,0,11,3,0,7,9,5,1,0,1,0,68,-904,1377
4379931850,0,18,2,0,3,6,3,1,0,1,0,48,-1683,-1363
4523858150,0,28,3,0,4,11,3,0,0,0,0,48,-3025,-1833
4459778854,1,36,1,0,10,6,12,0,0,0,0,44,3004,2300
4499523222,1,18,3,0,9,6,14,1,1,0,0,36,1574,761
4477029310,1,12,2,1,5,5,3,0,0,0,0,16,-1036,-1423
4525037711,0,18,4,1,3,4,2,1,0,1,0,60,16,433
4459414345,0,41,0,0,1,10,0,0,0,0,0,32,-6386,-4210
4505664040,1,14,4,1,11,2,9,0,0,0,0,48,5096,3310
4439587692,1,19,1,1,8,4,5,1,1,0,1,54,2756,1683
4508000311,1,15,2,0,2,3,2,1,0,1,0,44,-977,-1025
4513365614,0,16,1,0,5,5,8,0,0,0,0,56,-808,-1655
4473252742,0,14,0,0,7,9,5,0,0,0,0,50,-1559,-407
4438138890,1,18,0,0,6,8,6,0,0,0,0,49,544,75
4467008289,1,22,4,1,5,2,2,2,1,1,0,53,1381,1017
4492625917,1,37,2,1,5,3,5,0,0,0,0,54,2031,1449
4502901044,0,14,4,0,3,3,2,1,1,0,0,56,131,370
4467732013,0,16,2,0,4,10,4,1,0,1,0,53,-2699,-2749
4514402510,0,17,0,1,5,7,7,1,1,0,0,63,-1672,-2698
4521277262,1,19,3,1,10,6,11,1,1,0,0,42,1201,316
4521752962,1,29,3,1,7,5,5,2,1,1,0,55,-108,59
4514070165,0,12,0,0,10,7,11,0,0,0,1,58,4633,2269
4525056568,0,18,4,0,2,7,0,0,0,0,0,62,-2262,-1391
4521255103,0,24,3,0,6,7,5,0,0,0,0,70,-49,500
4510728488,1,18,2,1,6,4,4,1,1,0,0,54,1687,1089
4516919746,1,122,3,1,9,1,10,2,1,1,0,68,3933,2922
4499868617,0,12,4,0,4,10,3,1,1,0,0,41,-4061,-4397
4514234813,0,52,2,0,6,12,7,0,0,0,0,42,-4920,-3280
4513591449,0,19,2,0,4,5,2,0,0,0,0,52,-1705,-1839
4471416203,0,32,4,1,7,8,8,1,1,0,0,46,105,-1547
4521227315,1,14,0,0,3,5,3,0,0,0,0,57,-554,521
4424144387,0,19,5,1,4,5,4,0,0,0,0,53,-1037,-1577
4517806218,0,16,2,1,9,8,7,1,0,1,0,62,-1144,480
4479974478,1,36,0,1,5,4,6,0,0,0,0,32,1173,953
4423018162,0,18,2,1,8,2,11,0,0,0,0,44,3194,2534
4518401885,0,13,3,1,2,7,1,1,1,0,0,38,-2622,-1136
4525208730,1,15,3,1,6,4,4,1,1,0,0,52,1151,470
4512774492,1,50,4,1,6,4,8,2,1,1,0,52,1463,1490
4522772001,0,14,2,0,4,6,1,0,0,0,0,52,-1038,-1307
4464439713,1,17,2,1,8,4,7,1,0,1,0,40,1424,1060
4479823004,1,18,1,0,13,9,18,1,1,0,0,44,527,721
4507330276,0,17,5,0,7,6,12,0,0,0,0,46,1807,932
4447392049,0,43,6,1,11,4,12,1,0,1,0,43,2856,1262
4521089901,0,12,1,0,6,6,10,1,1,0,0,56,-964,-2454
4427944005,0,20,2,0,7,8,6,1,0,1,0,51,-178,524
4509784380,1,18,3,0,9,8,7,1,1,0,0,41,705,192
4524411421,1,16,0,0,10,10,14,1,1,0,0,55,908,306
4519898107,1,14,2,0,7,2,12,2,1,1,0,68,3558,3243
4517633575,0,12,6,0,1,6,0,0,0,0,0,56,-1299,-49
4521948875,1,16,4,0,5,8,7,1,1,0,0,48,-1763,-1864
4509102299,1,15,0,0,10,4,12,0,0,0,0,64,2547,2189
4525041896,0,13,3,0,3,10,2,1,1,0,0,53,-3685,-3119
4515706467,0,83,13,1,7,11,3,0,0,0,0,25,-3689,-4682
4476006621,0,17,4,1,3,5,2,0,0,0,0,73,-764,803
4499940691,1,16,3,1,9,2,5,0,0,0,0,51,3037,2694
4426644547,1,14,4,1,7,7,6,0,0,0,1,62,3545,2162
4525072812,0,14,2,0,7,7,10,1,1,0,0,48,-1031,-394
4524217548,0,17,1,0,5,10,6,0,0,0,0,59,-1796,-749
4499622849,1,16,6,1,5,4,9,0,0,0,0,37,1626,747
4499844894,1,40,1,0,6,8,10,1,0,1,0,70,832,1330
4460534353,1,16,0,0,11,6,11,2,1,1,0,52,2750,2647
4495269641,0,16,1,0,5,8,4,1,0,1,0,28,-1524,-827
4524995677,0,16,4,1,6,8,2,1,1,0,0,53,-1370,-875
4464596479,0,14,3,0,4,6,4,0,0,0,0,43,-1506,-412
4452452649,0,13,5,0,6,7,2,0,0,0,0,52,-1101,-718
4420481816,0,18,4,0,8,3,7,1,0,1,0,44,2774,2207
4412895789,0,24,0,0,8,11,9,0,0,0,0,44,-1806,-588
4525114135,0,12,5,0,6,4,8,1,1,0,0,44,1265,1248
4496624699,1,17,3,0,6,14,4,0,0,0,0,46,-4443,-4140
4522663961,0,19,3,0,3,5,1,0,0,0,0,59,-927,967
4522251387,1,12,3,1,9,5,9,0,0,0,0,36,1425,728
4472377536,1,14,3,0,6,4,6,1,1,0,0,60,1177,1161
4466226469,1,19,2,1,2,7,2,1,1,0,0,64,-1586,410
4473936532,0,16,2,0,5,10,3,2,1,1,0,44,-2896,-2081
4524445302,1,18,1,0,12,9,10,0,0,0,0,48,905,1054
4459740551,0,17,1,1,9,17,17,0,0,0,0,29,-3887,-3392
4463542711,1,32,2,1,12,6,12,1,1,0,0,47,3413,2984
4508629003,0,16,2,1,7,9,5,2,1,1,0,48,-256,-1580
4475094281,1,19,5,1,7,10,7,0,0,0,0,44,-1820,-1412
4513430767,1,14,1,1,6,4,12,1,1,0,0,39,625,-534
4508634893,0,12,2,0,2,6,1,0,0,0,0,60,-3628,-2009
4522792360,0,30,6,1,5,5,7,1,0,1,0,67,769,480
4507927084,0,18,5,0,8,8,8,1,1,0,0,43,-576,-682
4522505411,0,14,16,0,3,9,2,0,0,0,0,40,-3900,-3550
4454104215,1,14,2,0,9,8,10,1,1,0,0,43,-7,-231
4516166112,1,13,6,1,10,7,10,0,0,0,0,44,1683,1433
4454239214,0,16,4,0,3,10,2,0,0,0,0,40,-4782,-3408
4517801069,1,38,3,1,9,7,11,1,1,0,0,40,636,-214
4518738712,1,40,1,0,7,14,6,1,1,0,0,37,-3421,-2624
4497571086,1,18,5,0,5,3,6,1,1,0,0,61,976,1599
4477243448,0,40,3,0,6,7,6,0,0,0,0,52,-211,-1305
4386507847,1,18,5,0,7,5,6,0,0,0,0,52,1221,462
4474136526,1,17,5,0,7,1,8,0,0,0,0,36,2037,1291
4523618632,1,15,5,1,6,3,11,1,1,0,0,36,817,-94
4507859079,1,18,2,1,4,4,4,0,0,0,0,48,-137,-351
4524740998,1,43,6,1,4,7,4,1,1,0,0,33,-1539,-1497
4512162103,0,13,5,0,5,7,4,0,0,0,0,48,-1707,-1286
4465066223,1,13,1,0,6,9,2,1,1,0,0,55,-556,-235
4523411488,1,20,1,1,9,7,15,1,1,0,0,37,-146,-717
4524017392,1,15,1,1,12,4,9,1,0,1,0,37,4083,2884
4513054107,1,17,1,0,5,5,6,0,0,0,0,64,1389,1418
4478629184,0,28,4,0,3,4,3,1,1,0,0,55,-890,-528
4395598976,0,12,3,1,4,9,5,0,0,0,0,32,-2519,-1095
4524952056,0,87,1,0,4,15,4,0,0,0,0,30,-4440,-4020
4453994009,1,15,3,1,7,6,7,0,0,0,0,64,1140,705
4462358723,0,15,4,1,5,7,2,0,0,0,0,40,-1656,-1832
4512811324,1,23,3,0,10,5,16,0,0,0,0,40,2171,-261
4438263187,1,18,1,1,12,4,15,0,0,0,0,60,3841,2484
4483907436,1,16,3,0,4,11,5,1,0,1,1,40,-885,-2172
4521937261,0,16,2,0,3,8,4,2,1,1,0,60,-2752,-2286
4515587675,1,17,3,1,13,9,22,0,0,0,0,31,2081,466
4517493567,0,15,5,1,4,3,4,0,0,0,0,53,453,-19
4469549199,0,15,2,1,3,1,3,1,1,0,0,56,830,-1002
4500100836,0,21,2,0,8,8,3,0,0,0,0,48,94,-445
4451727242,0,70,2,0,8,6,12,2,1,1,0,56,-722,891
4462194525,0,18,1,0,6,7,10,1,0,1,0,47,-1491,-799
4481415061,0,10,1,0,6,14,3,0,0,0,0,59,-3109,-1745
4519169394,0,15,4,1,7,11,9,0,0,0,0,56,537,-477
4449504375,1,15,9,0,13,5,10,2,1,1,0,71,4079,5568
4468503240,1,91,3,0,10,5,13,0,0,0,1,50,4006,2081
