blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueDragons,blueHeralds,blueBarons,blueHordes,blueTowersDestroyed,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff
1,47,30,0,27,18,64,1,1,1,6,10,130,12446,13525
0,88,16,0,30,37,37,1,1,0,5,5,197,-4405,-9062
1,92,51,0,35,26,58,2,0,1,0,9,165,8289,16235
1,39,9,0,17,7,22,0,0,0,0,3,56,4441,4756
0,63,19,1,19,29,37,1,1,0,0,3,109,-14811,-10346
0,86,30,1,30,14,60,2,1,2,4,6,162,4198,13430
0,71,23,0,13,30,15,0,0,0,1,2,138,-11389,-12915
1,92,37,0,51,27,90,1,0,2,1,11,162,12746,13065
1,69,19,0,33,30,59,2,0,1,1,6,149,1319,7257
1,93,26,1,40,37,47,1,0,1,3,8,176,1630,-61
0,99,40,1,28,35,52,3,0,0,3,8,171,-4288,-4958
1,77,26,1,28,32,51,1,1,0,6,8,112,-850,-5659
0,46,19,0,20,44,29,2,0,0,3,0,100,-11691,-4576
0,80,40,0,40,60,70,0,0,0,1,1,144,-10270,-9799
0,45,14,0,22,38,27,0,0,0,6,2,114,-12785,-14247
1,69,29,1,32,18,55,1,1,1,1,9,137,11372,8840
0,55,25,0,21,32,37,1,1,0,3,2,156,-11959,-10439
1,23,6,1,12,7,15,0,0,0,6,2,68,6695,2009
1,65,25,1,38,24,81,2,1,1,4,9,136,13276,12537
0,36,16,1,11,32,15,1,0,0,3,2,55,-11503,-8449
1,71,19,0,33,20,64,2,1,1,3,7,121,12170,15567
1,48,28,0,35,16,45,2,0,0,6,6,72,13591,11732
1,105,23,1,43,32,67,4,1,0,3,9,180,5531,6276
0,51,13,1,11,29,21,0,0,0,3,1,102,-19139,-17482
1,70,29,1,27,7,54,2,1,1,6,7,134,14938,11768
0,59,9,0,31,48,54,0,0,0,0,3,71,-13317,-13507
0,54,17,0,18,39,19,1,0,0,0,3,89,-9087,-11984
0,66,24,1,21,40,35,0,0,0,0,2,129,-12458,-9735
1,65,17,1,31,19,26,1,1,1,6,9,123,12448,9672
0,76,33,1,21,26,23,0,1,0,6,5,132,-5300,-10600
0,70,15,1,14,31,29,1,0,0,1,4,100,-14373,-16858
0,46,8,1,13,19,17,0,0,0,3,4,128,-6057,-10142
0,47,12,1,24,41,34,0,1,0,4,2,104,-10751,-10894
1,29,10,1,12,6,12,1,1,0,6,3,77,6740,5947
